Call,Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Location,County,Lat,Long,Mode,Digital Access,EchoLink,Last Update
KF4DG,147.105,147.705,+,100,,Pembroke - WVAN Tower,Bryan,32.14699,-81.61801,Analog/analog,,469003,4/10/2022
K4EGA,147.09,147.69,+,186.2,100.0,Greensboro,Greene,33.548194,-83.070694,Analog/analog,,,6/11/2022
W4GR,147.075,147.675,+,82.5,82.5,Snellville - Lanier Mountain Water Tower,Gwinnett,33.85839844,-84.02449799,Analog/analog,,405614,4/11/2022
W4CLA,147.075,147.675,+,123,,Claxton,Evans,32.16159821,-81.90399933,Analog/analog,,,4/9/2022
K4VLD,147.075,147.675,+,,,Valdosta,Lowndes,30.8491993,-83.32189941,DMR,1,,4/8/2022
W4UCJ,147.06,147.66,+,,,Thomasville,Thomas,30.83659935,-83.97879791,Analog/analog,,,4/3/2022
NF4GA,147.06,147.66,+,100,100.0,Roswell,Fulton,34.06669998,-84.32019806,Analog/analog,,1,3/29/2022
KE4ZRT,147.045,147.645,+,141.3,,Millwood - GPB TV Tower,Ware,31.2347214,-82.599265,Analog/analog,,,6/7/2022
KD4AOZ,147.045,147.645,+,123,CSQ,Watkinsville,Oconee,33.86289978,-83.40879822,Analog/analog,,,4/2/2022
WA4GBT,147.03,147.63,+,,,Atlanta - ATL - Hartsfield - Jackson International Airport,Fulton,33.74890137,-84.38790131,YSF/analog,,,4/5/2022
WD4AUX ,147.015,147.615,+,100,100.0,Waleska - Pine Log Mountain,Cherokee,34.3209267,-84.6413218,Analog/analog,,,7/9/2022
WX4EMA,147.015,147.615,+,88.5,88.5,Macon,Bibb,32.84069824,-83.63240051,Analog/analog,,,6/1/2022
W4EEE,147,147.6,+,85.4,85.4,Bogart,Oconee,33.94929886,-83.5345993,YSF/analog,13293,,9/16/2022
N4SFU,147,147.6,+,156.7,,Twin City,Emanuel,32.582901,-82.15509796,Analog/analog,,,8/27/2022
K4KNS,146.985,146.385,-,71.9,71.9,Evans,Columbia,33.51649857,-82.14360046,Analog/analog,,730492,6/7/2022
KN4FE,146.985,146.385,-,110.9,110.9,Warm Springs,Meriwether,32.89039993,-84.68099976,Analog/analog,,282020,4/11/2022
KC4ZGN,146.985,146.385,-,77,77.0,Ellijay,Gilmer,34.71409988,-84.4937973,Analog/analog,,,4/11/2022
K4CLJ,146.97,146.37,-,100,,Atlanta,Fulton,33.79679871,-84.39479828,Analog/analog,,,4/12/2022
WB4QOJ,146.955,146.355,-,77,77.0,Dallas - Macland Road,Paulding,33.92369843,-84.84079742,Analog/analog,,3026,9/18/2022
WR4MG,146.955,146.355,-,107.2,CSQ,Perry - Perry Hospital,Houston,32.45819855,-83.7315979,Analog/analog,,1,4/11/2022
K5PRE,146.955,146.355,-,100,,Blairsville - Rocky Top Mountain,Union,34.87620163,-83.95819855,Analog/analog,,773104,4/11/2022
KD4AOZ,146.955,146.355,-,123,CSQ,Athens,Clarke,33.9557991,-83.38240051,Analog/analog,,,4/2/2022
KE4RAP,146.94,146.34,-,146.2,146.2,Augusta - Bon Air Hotel,Richmond,33.4742012,-82.00969696,Analog/analog,,,6/7/2022
WA4RVB,146.94,146.34,-,,,Wrightsville,Johnson,32.72930145,-82.71990204,Analog/analog,,,4/9/2022
W4VO,146.94,146.34,-,88.5,88.5,Rome - Mount Alto,Floyd,34.233217,-85.234883,Analog/analog,,203979,4/5/2022
WA4ASI,146.925,146.325,-,88.5,88.5,Covington - Forestry Fire Tower,Newton,33.54650116,-83.8911972,YSF/analog,2,6925,9/16/2022
K4GAR,146.91,146.31,-,100,,Cleveland - Long Mountain,White,34.55580139,-83.7838974,Analog/analog,,78118,6/6/2022
KD4UTQ,146.895,146.295,-,88.5,CSQ,Macon,Bibb,32.84069824,-83.63240051,Analog/analog,,,7/22/2022
K4QHR,146.895,146.295,-,127.3,D411,Kingsland,Camden,30.78549957,-81.61620331,Analog/analog,,,4/8/2022
W4CMB,146.895,146.295,-,100,,Carnesville,Franklin,34.36980057,-83.23519897,Analog/analog,,,3/28/2022
WD4LUQ,146.895,147.495,+,77,77.0,Union - Roses Store,Paulding,33.8426817,-84.9817619,Analog/analog,,,11/2/2021
KD4IEZ,146.88,147.48,+,77,,Dublin,Laurens,32.54040146,-82.90380096,YSF/analog,,,6/12/2022
WA4NKL,146.88,146.28,-,,,Quitman,Brooks,30.78490067,-83.55989838,Analog/analog,,,4/1/2022
KI4ENN,146.865,147.465,+,151.4,,Hiawassee - Bell Mountain,Towns,34.94929886,-83.75740051,Analog/analog,,,6/11/2022
WB4DKY,146.865,146.265,-,179.9,,Madison - Confederate &amp; Brownwood Roads,Morgan,33.59569931,-83.46790314,Analog/analog,,,4/3/2022
KE4ZFR,146.865,146.265,-,141.3,141.3,Jesup,Wayne,31.60740089,-81.88539886,Analog/analog,,,4/2/2022
WA4ORT,146.85,146.25,-,,,Warner Robins - Dunbar Road Water Tower,Houston,32.649022,-83.655235,Analog/analog,,,3/25/2022
W4NAS,146.835,146.235,-,127.3,127.3,Kingsland,Camden,30.79999924,-81.68979645,Analog/analog,,,9/17/2022
WB4NFG,146.835,146.235,-,77,CSQ,Bowlingbrook,Monroe,32.94639969,-83.80239868,Analog/analog,,,6/6/2022
N4KHQ,146.835,147.435,+,100,,Dahlonega - Bisky Mountain,Lumpkin,34.52105,-84.339183,Analog/analog,,,4/11/2022
W4DOC,146.82,146.22,-,146.2,146.2,Atlanta - Bank of America Tower,Fulton,33.74900055,-84.38800049,Analog/analog,,691899,6/12/2022
W4MM,146.82,146.22,-,110.9,,Albany,Dougherty,31.57850075,-84.15570068,Analog/analog,,,4/3/2022
KC4AQS,146.805,147.405,+,100,100.0,Jasper - Mount Oglethorpe,Pickens,34.48619843,-84.33139801,Analog/analog,,,9/18/2022
AA4P,146.79,146.19,-,141.3,,Moultrie,Colquitt,31.17989922,-83.78910065,Analog/analog,,,6/6/2022
K4NRC,146.79,146.19,-,131.8,131.8,Madras,Coweta,33.438231,-84.710938,YSF/analog,,,4/5/2022
AB4KK,146.79,146.19,-,141.3,141.3,Folkston,Charlton,30.85333,-81.98458,Analog,,626696,4/4/2022
WA4DDI,146.775,146.175,-,,,Macon,Bibb,32.84069824,-83.63240051,Analog/analog,,,6/20/2022
W4VLD,146.76,146.16,-,141.3,,Valdosta,Lowndes,30.8491993,-83.32180023,Analog/analog,,821412,4/8/2022
K4SOD,146.76,146.16,-,141.3,,Trenton - Sand Mountain Water Tank,Dade,34.87200165,-85.50910187,Analog/analog,,94681,4/8/2022
W4BOC,146.76,146.16,-,107.2,107.2,Stone Mountain,Dekalb,33.80619812,-84.14579773,Analog/analog,,330246,11/10/2021
W4CVY,146.745,146.145,-,123,123.0,Columbus - WXTX Tower,Muscogee,32.461324,-84.878458,Analog/analog,,,7/19/2022
K4WOC,146.745,146.145,-,100,,Calhoun,Gordon,34.50260162,-84.95110321,Analog/analog,,,6/11/2022
W4ECA,146.745,146.145,-,97.4,,Guyton,Effingham,32.3362999,-81.39150238,Analog/analog,,738635,4/4/2022
WA4DDI,146.73,146.13,-,100,,Macon,Bibb,32.84069824,-83.63240051,Analog/analog,,,6/20/2022
W4MM,146.73,146.13,-,110.9,,Albany,Dougherty,31.57850075,-84.15570068,Analog/analog,,,4/3/2022
N4SFU,146.715,146.115,-,,,Twin City,Emanuel,32.582901,-82.15509796,Analog/analog,,,6/6/2022
KI4FVI,146.715,146.115,-,146.2,146.2,McDonough,Henry,33.5071,-84.1428,Analog/analog,,347219,4/17/2022
W4ABZ,146.715,146.115,-,67,,Ringgold,Catoosa,34.91590118,-85.10910034,Analog/analog,,,4/8/2022
W4CMB,146.715,146.115,-,100,,Lavonia,Franklin,34.43590164,-83.10679626,YSF/analog,,,3/28/2022
AB4KE,146.7,146.1,-,141.3,141.3,LaGrange,Troup,32.96580124,-84.98549652,Analog/analog,,,6/9/2022
K4SJR,146.7,146.1,-,123,123.0,Jasper,Pickens,34.46789932,-84.42910004,Analog/analog,,,4/12/2022
W4PCF,146.7,146.1,-,67,CSQ,Milledgeville,Baldwin,33.05500031,-83.16329956,Analog/analog,,,3/31/2022
KG4PXG,146.685,146.085,-,100,100.0,Dover Bluff,Camden,31.06189919,-81.57309723,Analog/analog,,8345,6/11/2022
W7TJT,146.685,146.085,-,167.9,CSQ,Fairmount,Gordon,34.42630005,-84.6875,Analog/analog,,,3/29/2022
W4ABP,146.67,146.07,-,131.8,,Gainesville - Wauka Mountain,Hall,34.50930023,-83.80680084,Analog/analog,,,8/27/2022
WM4B,146.67,146.07,-,82.5,82.5,Warner Robins - Houston Medical Center,Houston,32.6169014,-83.63150024,Analog/analog,,292763,4/9/2022
K4EGA,146.655,146.055,-,186.2,100.0,Eatonton,Putnam,33.31389999,-83.39309692,Analog/analog,,,6/11/2022
KI4BEO,146.64,146.04,-,97.4,CSQ,Montezuma,Macon,32.30519867,-84.02739716,Analog/analog,,,4/9/2022
W4FWD,146.64,146.04,-,131.8,,Carrollton,Carroll,33.57699966,-85.01249695,Analog/analog,,,4/8/2022
WX4TC,146.625,146.025,-,127.3,,Braselton,Jackson,34.10929871,-83.76270294,Analog/analog,,,8/27/2022
W4CVY,146.625,146.025,-,123,123.0,Pine Mountain - FDR Park/Pine Mountain Trail,Harris,32.837678,-84.814891,Analog/analog,,,7/19/2022
K4HAO,146.625,146.025,-,88.5,,Vidalia - City Water Tank,Toombs,32.21770096,-82.41349792,YSF/analog,,,4/11/2022
KJ4ZZF,146.5,146.5,x,88.5,,Dallas,Paulding,33.92449951,-84.84130096,Analog,,517669,6/11/2022
N4RSW,146.46,146.46,x,88.5,,Emerson - Lake Point,Bartow,34.12080002,-84.76490021,Analog,,4505,4/3/2022
W4LHS,146.34,146.34,x,91.5,,Tybee,Chatham,32.013038,-80.86541,Analog,,,4/20/2022
KK4OIO,145.49,144.89,-,107.2,107.2,Marietta - Fort Street Hill Tower,Cobb,33.9244531,-84.8413056,Analog/analog,,30132,4/8/2022
KG4OGC,145.47,144.87,-,,,Riceboro,Liberty,31.73550034,-81.43340302,YSF/analog,,,9/9/2022
NF4GA,145.47,144.87,-,100,100.0,Sandy Springs,Fulton,33.9304352,-84.3733147,Analog/analog,,1,3/29/2022
W4BOC,145.45,144.85,-,107.2,107.2,Decatur - Exchange Park,Dekalb,33.70569992,-84.25489807,Analog/analog,,,11/10/2021
AA4RI,145.43,144.83,-,88.5,,Macon,Bibb,32.84069824,-83.63240051,Analog/analog,,,6/7/2022
K4SJR,145.43,144.83,-,123,,Jasper - Biskey Mountain,Pickens,34.5209425,-84.3384477,Analog/analog,,,12/19/2021
K4KNS,145.41,144.81,-,71.9,71.9,Augusta - Doctors Hospital,Richmond,33.4742012,-82.00969696,Analog/analog,,,6/7/2022
KK4JPG,145.41,144.81,-,100,,Forsyth - Monroe County Hospital Tower,Monroe,33.0314778,-83.9453995,Analog/analog,,,4/10/2022
W4LSG,145.39,144.79,-,123,,Clarkesville - Ivy Mountain,Habersham,34.6125971,-83.5248933,Analog/analog,,,9/8/2022
WB4GWA,145.39,144.79,-,110.9,,Griffin,Spalding,33.24679947,-84.26409912,Analog/analog,,,4/10/2022
WB4JOE,145.37,144.77,-,88.5,,Gray - Round Oak,Jones,32.84069824,-83.63240051,Analog/analog,,,6/7/2022
W4UCJ,145.37,144.77,-,141.3,,Thomasville,Thomas,30.83320045,-83.98249817,Analog/analog,,,4/3/2022
N4OME,145.35,144.75,-,141.3,,Ashburn,Turner,31.70599937,-83.65319824,Analog/analog,,,4/11/2022
W4GTA,145.35,144.75,-,100,100.0,Lookout Mountain - Lookout Mountain,Walker,34.86270142,-85.39420319,YSF/analog,,9058,11/9/2021
KD4QHB,145.33,144.73,-,123,123.0,Athens,Clarke,33.9625,-83.455278,Analog/analog,,,4/11/2022
WX4BWK,145.33,144.73,-,131.8,,Brunswick - Sidney Lanier Bridge,Glynn,31.11884,-81.4836,Analog/analog,,903179,4/9/2022
KA3JIJ,145.31,144.71,-,123,,Clermont - Wauka Mountain,Hall,34.50510025,-83.80680084,YSF/analog,1,,4/3/2022
W4DV,145.29,144.69,-,71.9,71.9,South Augusta,Richmond,33.4742012,-82.00969696,Analog/analog,,,6/12/2022
WX4PCH,145.29,144.69,-,82.5,82.5,Byron - Peach County Fire Department,Peach,32.6114006,-83.79290009,Analog/analog,,,4/7/2022
W4SAN,145.27,144.67,-,77,,Sandersville,Washington,32.98149872,-82.81009674,Analog/analog,,,4/3/2022
KG4VUB,145.27,144.67,-,100,100.0,Waleska - Pine Log Mountain,Cherokee,34.31309891,-84.64880371,Analog/analog,,,1/17/2022
K4TRS,145.25,144.65,-,71.9,,Toccoa - Toccoa Falls,Stephens,34.57730103,-83.33239746,Analog/analog,,332596,4/11/2022
WB4GWA,145.25,144.65,-,110.9,,Concord,Pike,33.09120178,-84.43740082,Analog/analog,,,4/10/2022
KM4EYX,145.25,144.65,-,141.3,,Alma,Bacon,31.4853,-82.6908,Analog/analog,,,4/4/2022
K4IO,145.23,144.63,-,151.4,151.4,Mansfield - White Pine Lane,Newton,33.56620026,-83.71690369,Analog/analog,,,4/10/2022
WR4SG,145.23,144.63,-,141.3,141.3,Valdosta,Lowndes,30.74309921,-83.39499664,Analog/analog,,,4/9/2022
W4DRC,145.23,144.63,-,141.3,CSQ,Chatsworth - Fort Mountain,Murray,34.84090042,-84.72049713,Analog/analog,,,4/9/2022
KK4GQ,145.21,144.61,-,131.8,,Fayetteville,Fayette,33.44869995,-84.45490265,Analog/analog,,317195,4/12/2022
KB4MQ,145.21,144.61,-,103.5,103.5,Eastman,Dodge,32.1977005,-83.17769623,Analog/analog,,,4/1/2022
KI4CCZ,145.21,144.61,-,118.8,118.8,Elberton,Elbert,34.191686,-82.883856,Analog/analog,,,11/2/2021
WB4ULJ,145.19,144.59,-,110.9,,Warm Springs,Meriwether,32.8708992,-84.67620087,Analog/analog,,,7/19/2022
K4KNS,145.19,144.59,-,71.9,71.9,Appling,Columbia,33.54610062,-82.31629944,Analog/analog,,,6/7/2022
KE4URL,145.17,144.57,-,141.3,,Reno,Grady,30.80929947,-84.25279999,NXDN/analog,,,7/25/2022
KJ4KPY,145.17,144.57,-,146.2,,Stockbridge - Piedmont Henry Medical Center,Henry,33.51119995,-84.22740173,Analog/analog,,,4/6/2022
W4HHH,145.17,144.57,-,100,100.0,Ellijay - Coosawattee River Resort,Gilmer,34.65650177,-84.51899719,Analog/analog,,672019,4/3/2022
W4AQL,145.15,144.55,-,167.9,167.9,Atlanta - Georgia Tech,Fulton,33.775867,-84.39733,Analog/analog,,,4/11/2022
K4NRC,145.13,144.53,-,156.7,156.7,Newnan - Coweta County Radio Tower,Coweta,33.384114,-84.81313,Analog/analog,,,4/5/2022
WR4BC,145.13,144.53,-,100,100.0,Winder,Barrow,33.99259949,-83.72019958,Analog/analog,,,4/1/2022
K4NRC,145.11,144.51,-,88.5,,Douglasville,Douglas,33.746948,-84.751226,Analog/analog,,,4/5/2022
